index,error_type,question,answers_choices,ground_truth,prediction,raw_output
50,invalid_bia_dap_an,"Một câu chuyện gần đây tại một hội thảo giáo dục sức khỏe đã đề cập đến việc nâng cao ý thức cộng đồng về bảo vệ thế hệ trẻ. Ở đây, câu hỏi được đặt ra là: ""Trong những trường hợp cụ thể, khi mà một nhà hàng phải nâng cao ý thức trách nhiệm xã hội của mình, việc bán hoặc tặng rượu bia cho khách hàng còn đang trong độ tuổi chưa đủ trưởng thành sẽ bị giới hạn ở độ tuổi nhất định nào theo pháp luật?""",A. Thể thao - y tế B. Thuế - phí - lệ phí C. Chứng khoán D. Bộ máy hành chính E. Doanh nghiệp F. Tiền tệ ngân hàng,A. Thể thao - y tế,(invalid),G
61,invalid_bia_dap_an,"Ông B là chủ một cơ sở giáo dục tư nhân, chuyên tổ chức các lớp học bổ trợ cho học sinh. Khi chuẩn bị kế hoạch phát triển cho năm 2025, ông cần tra cứu thông tin chi tiết liên quan đến các quy định mới nhất đối với trung tâm dạy thêm kể từ ngày 15/11/2025. Ông B cần biết cụ thể về mã ngành nghề được áp dụng cho loại hình tổ chức của mình như thế nào để tuân thủ đúng quy định pháp lý?",A. Chứng khoán B. Thuế - phí - lệ phí C. Sở hữu trí tuệ D. Trách nhiệm hình sự E. Giao thông vận tải F. Thương mại,F. Thương mại,(invalid),G
68,invalid_bia_dap_an,"Một trường hợp liên quan xảy ra khi một bác sĩ tại phòng khám tư đã vô tình tiết lộ giới tính thai nhi cho một khách hàng, dẫn đến tranh cãi không cần thiết trong gia đình của khách hàng đó. Trước áp lực từ phía phụ huynh và ảnh hưởng của thông tin không mong muốn này, có nên áp dụng biện pháp đình chỉ hành nghề đối với bác sĩ, cũng như xem xét các yếu tố pháp lý và đạo đức nào trong quyết định này?",A. Xây dựng - đô thị B. Thể thao - y tế C. Tiền tệ ngân hàng D. Bất động sản E. Công nghệ thông tin F. Bộ máy hành chính,B. Thể thao - y tế,(invalid),G
69,invalid_bia_dap_an,"Một công ty lớn đang tìm kiếm nhà thầu cho dự án xây dựng mới và quyết định áp dụng phương thức hiện đại qua mạng để tăng tính minh bạch. Trong suốt quá trình lựa chọn nhà thầu, họ dự kiến triển khai chào giá trực tuyến. Vậy, giám đốc dự án cần nắm rõ chào giá trực tuyến này thường được thực hiện trong giai đoạn nào của quy trình đấu thầu để đảm bảo tuân thủ đúng quy định và đạt hiệu quả cao nhất?",A. Đầu tư B. Tài nguyên - môi trường C. Sở hữu trí tuệ D. Xuất nhập khẩu E. Thể thao - y tế F. Giao thông vận tải,A. Đầu tư,(invalid),G
71,chon_sai_dap_an_hop_le,"Ông B đang quan tâm đến việc tham gia một gói thầu xây dựng cho công ty của mình và gói thầu này áp dụng phương pháp một giai đoạn một túi hồ sơ. Trước khi đưa ra quyết định cuối cùng, ông muốn biết trong những hoàn cảnh nào thì bước thương thảo hợp đồng có thể được tiến hành, nhằm đảm bảo rằng các điều khoản hợp tác sẽ mang lại lợi ích tối ưu cho doanh nghiệp mình. Liệu ông B cần chuẩn bị những gì và tuân thủ các quy trình nào để đảm bảo việc thương thảo diễn ra thuận lợi và hợp pháp?",A. Xây dựng - đô thị B. Lĩnh vực khác C. Văn hóa - xã hội D. Lao động - tiền lương E. Dịch vụ pháp lý F. Đầu tư,F. Đầu tư,E. Dịch vụ pháp lý,E
73,chon_sai_dap_an_hop_le,"Ông B đang lên kế hoạch phát triển một khu sinh thái kết hợp giữa công viên cây xanh và hệ thống hồ nước để cải thiện môi trường sống tại đô thị địa phương. Để thực hiện dự án một cách hiệu quả, ông cần tìm hiểu các quy định pháp lý và hướng dẫn thực hiện liên quan đến việc quản lý công viên cây xanh và mặt nước theo Nghị định mới nhất. Ông B nên nắm bắt rõ toàn bộ nội dung của Nghị định 258/2025/NĐ-CP để hiểu những tiêu chuẩn và điều kiện cụ thể nào cần phải tuân thủ?",A. Tài nguyên - môi trường B. Xây dựng - đô thị C. Bảo hiểm D. Xuất nhập khẩu E. Giáo dục F. Lĩnh vực khác,A. Tài nguyên - môi trường,B. Xây dựng - đô thị,B
92,chon_sai_dap_an_hop_le,"Chị B đang gặp khó khăn trong việc thanh toán khoản vay tại một tổ chức tín dụng có uy tín, và có nguy cơ rơi vào tình trạng nợ xấu. Từ ngày 15/10/2025, nếu ngân hàng quyết định xử lý tài sản bảo đảm của chị, ngân hàng đó phải tuân thủ những quy trình và điều kiện cụ thể nào để đảm bảo việc thu giữ tài sản được thực hiện đúng quy định pháp luật?",A. Tiền tệ ngân hàng B. Bộ máy hành chính C. Đầu tư D. Kế toán - kiểm toán E. Thuế - phí - lệ phí F. Dịch vụ pháp lý,A. Tiền tệ ngân hàng,F. Dịch vụ pháp lý,F
93,chon_sai_dap_an_hop_le,"Nhà đầu tư B đang chuẩn bị thành lập một công ty mới trong khu vực kinh tế phát triển đặc biệt theo chính sách của chính phủ. Tuy nhiên, ông muốn biết liệu các lợi ích mà nhà đầu tư có thể nhận được từ chính sách khuyến khích này sẽ kéo dài trong bao lâu. Liệu các ưu đãi đó có bị giới hạn trong một khoảng thời gian cụ thể hoặc có thể hưởng dài hạn mà không hạn chế gì?",A. Doanh nghiệp B. Đầu tư C. Tài chính nhà nước D. Giao thông vận tải E. Quyền dân sự F. Văn hóa - xã hội,A. Doanh nghiệp,B. Đầu tư,B
96,invalid_bia_dap_an,"Doanh nhân B đang có kế hoạch mở rộng công ty và muốn tuân thủ đầy đủ các quy định của pháp luật để tránh những rắc rối không mong muốn. Đặc biệt, ông B nhận thấy tầm quan trọng của việc phòng chống vấn đề tài chính bất hợp pháp. Vì vậy, ông cần tìm hiểu chi tiết về nghị định hướng dẫn mới nhất liên quan đến việc ngăn chặn hành vi rửa tiền. Nghị định đó hiện nay được nhận diện như thế nào và có những điểm mới đáng chú ý nào cần lưu ý?",A. Tiền tệ ngân hàng B. Bảo hiểm C. Lao động - tiền lương D. Chứng khoán E. Thuế - phí - lệ phí F. Tài nguyên - môi trường,A. Tiền tệ ngân hàng,(invalid),G. Phòng chống rửa tiền
98,invalid_bia_dap_an,"Ông B là chủ một doanh nghiệp thực phẩm mới thành lập, đang tìm cách đảm bảo rằng tất cả các sản phẩm của mình tuân thủ các quy định pháp lý hiện hành. Trong quá trình tìm hiểu, ông B nhận ra mình cần nắm vững các chi tiết trong hướng dẫn pháp lý từ chính phủ liên quan đến an toàn thực phẩm. Vậy ông B cần biết Nghị định nào hiện tại đang hướng dẫn chi tiết về Luật An toàn thực phẩm để có sự tuân thủ nghiêm ngặt?",A. Xuất nhập khẩu B. Thương mại C. Văn hóa - xã hội D. Bảo hiểm E. Giáo dục F. Tiền tệ ngân hàng,B. Thương mại,(invalid),G
99,invalid_bia_dap_an,"Anh B đang lên kế hoạch đầu tư vào bất động sản tại Lâm Đồng với mong muốn tối ưu hóa lợi nhuận trong vài năm tới. Tuy nhiên, để đưa ra quyết định chính xác, anh cần tìm hiểu kỹ về mức giá dự kiến đối với các loại đất trong khu vực này bắt đầu từ ngày 01 tháng 01 năm 2026. Vậy, những yếu tố nào sẽ điều chỉnh bảng giá đất trong thời gian tới và những thay đổi đó sẽ ảnh hưởng ra sao đến chiến lược đầu tư của anh B?",A. Tài chính nhà nước B. Bất động sản C. Thể thao - y tế D. Thủ tục tố tụng E. Dịch vụ pháp lý F. Doanh nghiệp,B. Bất động sản,(invalid),Bất động sản
101,invalid_bia_dap_an,"Ông B là một học giả đang nghiên cứu về hệ thống quản lý công tại các quốc gia Đông Nam Á. Khi phân tích khung pháp lý của Việt Nam, ông muốn hiểu rõ về những nguyên tắc cơ bản định hướng cho cơ cấu và hoạt động của Nhà nước theo quy định hiện hành. Dựa trên Hiến pháp được thông qua năm 2013, ông B cần xác định cụ thể những nguyên tắc nào là nền tảng cho việc tổ chức và vận hành bộ máy nhà nước này?",A. Giáo dục B. Chứng khoán C. Vi phạm hành chính D. Doanh nghiệp E. Sở hữu trí tuệ F. Giao thông vận tải,C. Vi phạm hành chính,(invalid),G
128,chon_sai_dap_an_hop_le,"Bà B đang lên kế hoạch về quê thăm gia đình tại Hồi Xuân, tỉnh Thanh Hóa, và bà cần thực hiện một số thủ tục liên quan đến bảo hiểm xã hội. Bà B muốn biết chính xác địa chỉ mới của cơ quan Bảo hiểm Xã hội tại địa phương này để có thể lên kế hoạch công việc một cách hiệu quả từ sau tháng 10 năm 2025. Vậy địa chỉ mới đó nằm ở đâu?",A. Bảo hiểm B. Xây dựng - đô thị C. Kế toán - kiểm toán D. Lao động - tiền lương E. Giáo dục F. Sở hữu trí tuệ,A. Bảo hiểm,D. Lao động - tiền lương,D
129,chon_sai_dap_an_hop_le,"Ông B, một doanh nhân đang chuẩn bị mở rộng hoạt động kinh doanh ra thị trường quốc tế, muốn đảm bảo rằng quy trình thông quan hàng hóa của mình sẽ diễn ra suôn sẻ và tuân thủ đầy đủ các quy định pháp lý. Trong quá trình tìm hiểu, ông nghe nói về một Quyết định mới của Bộ Tài chính được ban hành gần đây nhằm thực hiện các thủ tục hành chính tại cửa khẩu. Để đảm bảo không gặp phải rủi ro pháp lý, ông B cần nắm rõ chi tiết của Quyết định này và cách áp dụng chúng vào hoạt động xuất nhập khẩu của mình như thế nào?",A. Xuất nhập khẩu B. Công nghệ thông tin C. Tiền tệ ngân hàng D. Lao động - tiền lương E. Tài chính nhà nước F. Giao thông vận tải,A. Xuất nhập khẩu,E. Tài chính nhà nước,E. Tài chính nhà nước
131,chon_sai_dap_an_hop_le,"Một công ty lớn đang bị điều tra vì nghi ngờ liên quan đến các hoạt động bất hợp pháp. Quá trình tố tụng hình sự đang diễn ra, và có nhiều biện pháp ngăn chặn khác nhau đang được xem xét áp dụng. Ban lãnh đạo công ty đang tìm hiểu và thảo luận xem liệu những biện pháp này có áp dụng cho bị can là pháp nhân trong tình huống của họ, và những yếu tố nào có thể ảnh hưởng đến việc triển khai các biện pháp này. Vậy, các quy định pháp luật hiện hành quy định như thế nào về việc sử dụng biện pháp ngăn chặn đối với pháp nhân là bị can trong bối cảnh này?",A. Kế toán - kiểm toán B. Thủ tục tố tụng C. Trách nhiệm hình sự D. Quyền dân sự E. Bộ máy hành chính F. Xuất nhập khẩu,C. Trách nhiệm hình sự,B. Thủ tục tố tụng,B. Thủ tục tố tụng
133,chon_sai_dap_an_hop_le,"Anh B, một đảng viên mới được kết nạp, đang tìm cách truy cập vào hệ thống điện tử hỗ trợ công tác đảng viên trên máy tính cá nhân của mình. Anh được tư vấn rằng cần sử dụng cổng thông tin trực tuyến để theo dõi và quản lý thông tin cá nhân cũng như các nhiệm vụ liên quan. Vậy, quy trình chính xác và chi tiết để anh B đăng nhập vào nền tảng sổ tay điện tử dành cho đảng viên là gì?",A. Bất động sản B. Bộ máy hành chính C. Đầu tư D. Công nghệ thông tin E. Văn hóa - xã hội F. Giao thông vận tải,B. Bộ máy hành chính,D. Công nghệ thông tin,D
134,chon_sai_dap_an_hop_le,"Một nhạc sĩ trẻ mới sáng tác một bài hát và tin rằng ca khúc sẽ được yêu thích rộng rãi. Tuần trước, anh ấy đã biểu diễn tại một sự kiện âm nhạc và có người hỏi, ""Anh sẽ làm gì để bảo vệ quyền lợi của mình đối với bài hát sau khi nó được công bố rộng rãi, và quy trình pháp lý để đảm bảo tác phẩm không bị sử dụng trái phép như thế nào?""",A. Giao thông vận tải B. Doanh nghiệp C. Thủ tục tố tụng D. Trách nhiệm hình sự E. Dịch vụ pháp lý F. Sở hữu trí tuệ,F. Sở hữu trí tuệ,E. Dịch vụ pháp lý,E
135,invalid_bia_dap_an,"Bà B đang tham gia một buổi hội thảo về vai trò của các cơ quan lập pháp trong việc duy trì và phát triển quốc gia. Trong buổi thảo luận, bà nhận thấy có nhiều ý kiến về nhiệm vụ và quyền hạn của một cơ quan quyền lực cao nhất trong nước. Để làm rõ hơn, bà muốn tìm hiểu chi tiết về các quyền và trách nhiệm cụ thể mà cơ quan này đảm nhận theo quy định hiện hành, nhất là những điểm được đề cập theo một điều khoản cụ thể trong văn bản quan trọng từ năm 2013. Vậy, bà B cần tìm kiếm thông tin nào để có cái nhìn rõ ràng hơn về vấn đề này?",A. Bộ máy hành chính B. Giao thông vận tải C. Trách nhiệm hình sự D. Giáo dục E. Bất động sản F. Lĩnh vực khác,A. Bộ máy hành chính,(invalid),G
138,chon_sai_dap_an_hop_le,"Ông B, một nhà quản lý dự án, đang lên kế hoạch cho một dự án đầu tư công quy mô lớn để phát triển hạ tầng. Trong quá trình chuẩn bị, ông tìm hiểu về các điều khoản liên quan đến bảo lãnh tạm ứng theo Nghị định 254 nhằm đảm bảo sự tuân thủ pháp lý. Ông B muốn biết cụ thể những trường hợp mà dự án này có thể không cần yêu cầu bảo lãnh tạm ứng là những trường hợp nào để dễ dàng quản lý tài chính dự án?",A. Tài chính nhà nước B. Công nghệ thông tin C. Đầu tư D. Thương mại E. Bộ máy hành chính F. Giáo dục,A. Tài chính nhà nước,C. Đầu tư,C
140,chon_sai_dap_an_hop_le,"Ông B đang muốn lập kế hoạch cho công việc cá nhân và cần sắp xếp thời gian hợp lý trong thời gian tới. Khi nghe nói có quy định mới được công bố bởi chính quyền liên quan đến việc thực hiện nghĩa vụ quân sự, ông rất quan tâm đến những thông tin chi tiết về lịch trình cụ thể của năm 2026. Làm thế nào để ông có thể cập nhật những mốc thời gian quan trọng và tất cả thông báo chính thức liên quan đến nghĩa vụ này?",A. Công nghệ thông tin B. Quyền dân sự C. Lĩnh vực khác D. Bộ máy hành chính E. Bảo hiểm F. Thuế - phí - lệ phí,B. Quyền dân sự,D. Bộ máy hành chính,D
144,chon_sai_dap_an_hop_le,"Trong bối cảnh công ty X đang nỗ lực cải thiện chương trình tuân thủ nội bộ nhằm đáp ứng tốt hơn các yêu cầu pháp lý hiện hành, họ phát hiện rằng một số thông tin quan trọng đã thay đổi và cần được cập nhật. Để đảm bảo sự chính xác và đầy đủ của hồ sơ, công ty X cần tìm kiếm mẫu đơn phù hợp để thực hiện sửa đổi và bổ sung thông tin theo đúng quy định trong Nghị định 259. Vậy họ phải sử dụng mẫu đơn nào để tiến hành các thay đổi cần thiết này?",A. Đầu tư B. Dịch vụ pháp lý C. Thể thao - y tế D. Vi phạm hành chính E. Tiền tệ ngân hàng F. Thương mại,F. Thương mại,B. Dịch vụ pháp lý,B
154,invalid_bia_dap_an,"Bà B đang điều hành một công ty sản xuất vàng trang sức. Gần đây, bà lo lắng vì có thông tin về sự thay đổi trong việc quản lý ngành nghề này sau ngày 10/10/2025. Để đảm bảo hoạt động của mình không bị gián đoạn, bà cần tìm hiểu rõ quá trình và tài liệu cần thiết để thực hiện việc thu hồi Giấy chứng nhận đủ điều kiện sản xuất. Vậy, bà B cần chuẩn bị những gì để thực hiện việc này theo đúng quy định mới?",A. Doanh nghiệp B. Thương mại C. Tiền tệ ngân hàng D. Xuất nhập khẩu E. Thể thao - y tế F. Bảo hiểm,C. Tiền tệ ngân hàng,(invalid),G
165,chon_sai_dap_an_hop_le,"Ông B, một giám đốc công ty xây dựng, vừa hoàn thành dự án lớn và cần tiến hành quyết toán với chủ đầu tư. Trong quá trình này, ông ấy yêu cầu một bảng tính chính xác để xác định giá trị quyết toán hợp đồng, nhằm đảm bảo tính minh bạch và tránh tranh chấp. Ông B nên tìm kiếm file EXCEL của Mẫu 03c theo Nghị định 254 để phục vụ cho việc tính toán quan trọng này ở đâu?",A. Giáo dục B. Doanh nghiệp C. Đầu tư D. Bảo hiểm E. Công nghệ thông tin F. Vi phạm hành chính,C. Đầu tư,B. Doanh nghiệp,B
167,invalid_bia_dap_an,"Ông B đang chuẩn bị tổ chức một sự kiện tại cộng đồng nơi ông sinh sống nhằm nâng cao nhận thức về quyền và trách nhiệm của mỗi cá nhân trong việc thúc đẩy sự công bằng giữa các giới. Khi tháng hành động vì bình đẳng giới và phòng chống bạo lực dự kiến diễn ra vào năm 2025, ông B muốn xây dựng khẩu hiệu cho chương trình của mình. Ông cần tìm hiểu và cập nhật những thông điệp thiết thực và ý nghĩa nhất để sử dụng cho sự kiện này. Khẩu hiệu tuyên truyền nào được coi là phù hợp và hiệu quả trong bối cảnh hiện nay?",A. Lao động - tiền lương B. Dịch vụ pháp lý C. Thuế - phí - lệ phí D. Quyền dân sự E. Chứng khoán F. Trách nhiệm hình sự,D. Quyền dân sự,(invalid),G
168,chon_sai_dap_an_hop_le,"Một doanh nghiệp khai thác vàng đang có kế hoạch mở rộng thị trường ra quốc tế nhằm tăng doanh thu và mở rộng mối quan hệ hợp tác thương mại. Để thực hiện mục tiêu này, công ty cần chuẩn bị một bộ hồ sơ đầy đủ để xin Giấy phép xuất khẩu vàng nguyên liệu từ Việt Nam, có hiệu lực từ sau ngày 10/10/2025. Doanh nghiệp cần xác định rõ các yêu cầu về giấy tờ và thủ tục cần thiết trong hồ sơ để đảm bảo tuân thủ các quy định hiện hành. Vậy những giấy tờ và thông tin nào cần được bao gồm trong hồ sơ để nộp cho cơ quan quản lý nhà nước?",A. Lĩnh vực khác B. Kế toán - kiểm toán C. Thương mại D. Tiền tệ ngân hàng E. Quyền dân sự F. Thể thao - y tế,D. Tiền tệ ngân hàng,C. Thương mại,C
171,chon_sai_dap_an_hop_le,"Một công ty luật đang chuẩn bị tài liệu để tư vấn cho khách hàng về quá trình giải quyết tranh chấp pháp lý. Trong bối cảnh đó, họ cần cập nhật thông tin về các quy định mới nhất liên quan đến giám định tư pháp để đưa ra hướng dẫn chính xác và kịp thời. Những gì công ty luật cần biết là, theo quy định pháp luật hiện hành, nghị định nào đang được áp dụng để hướng dẫn chi tiết về Luật giám định tư pháp?",A. Đầu tư B. Công nghệ thông tin C. Thủ tục tố tụng D. Bộ máy hành chính E. Dịch vụ pháp lý F. Quyền dân sự,C. Thủ tục tố tụng,E. Dịch vụ pháp lý,E
175,chon_sai_dap_an_hop_le,"Người bạn của tôi là một nhà kinh doanh đang quan tâm tới các hoạt động vui chơi giải trí hợp pháp tại Việt Nam. Anh ấy nghe nói có thông tin về việc thí điểm cho người dân trong nước tham gia chơi ở một số sòng bạc cụ thể, như ở Vân Đồn và Hồ Tràm. Để chắc chắn, anh ta muốn biết rõ các điều kiện và quy trình mà người dân cần đáp ứng để tham gia những hoạt động giải trí này có thể được thực hiện như thế nào, cũng như những quy định cụ thể và giới hạn nào được áp dụng trong giai đoạn thử nghiệm này?",A. Xây dựng - đô thị B. Thể thao - y tế C. Văn hóa - xã hội D. Bộ máy hành chính E. Vi phạm hành chính F. Tiền tệ ngân hàng,E. Vi phạm hành chính,C. Văn hóa - xã hội,C
178,chon_sai_dap_an_hop_le,"Ông B vừa mở một trung tâm dịch vụ liên quan đến xe ô tô và đang tìm hiểu về các quy định pháp lý để đảm bảo hoạt động kinh doanh hợp pháp. Ông nghe nói rằng, việc cung cấp dịch vụ bảo hành và bảo dưỡng xe ô tô đã được loại khỏi danh sách các ngành nghề yêu cầu điều kiện đầu tư đặc biệt. Ông B cần xác minh xem thông tin này có đúng không và những yếu tố nào cần chú ý khi vận hành dịch vụ này?",A. Doanh nghiệp B. Thuế - phí - lệ phí C. Lao động - tiền lương D. Quyền dân sự E. Đầu tư F. Tài chính nhà nước,A. Doanh nghiệp,E. Đầu tư,E
179,chon_sai_dap_an_hop_le,"Bà H quản lý một công ty chuyên tổ chức các chương trình xổ số trúng thưởng và đang lo ngại về các rủi ro liên quan đến việc chấp hành pháp luật trong hoạt động này. Nhằm đảm bảo mọi quy trình được diễn ra an toàn và đúng quy định pháp luật, bà H cần tìm hiểu chi tiết về việc thực hiện các biện pháp ngăn ngừa hành vi vi phạm theo chỉ dẫn cụ thể từ Công văn số 15405/BTC-ĐCTC năm 2025 là như thế nào?",A. Thuế - phí - lệ phí B. Thương mại C. Trách nhiệm hình sự D. Vi phạm hành chính E. Bất động sản F. Lao động - tiền lương,B. Thương mại,D. Vi phạm hành chính,D
185,chon_sai_dap_an_hop_le,"Bà B đang chuẩn bị nộp đơn xin làm việc tại một công ty lớn và được yêu cầu cung cấp thông tin liên quan đến lý lịch tư pháp của mình, bao gồm cả thông tin về án tích. Để hoàn tất hồ sơ một cách chính xác và đầy đủ, bà B cần tìm hiểu kỹ nguồn gốc từ đâu mà các thông tin về án tích của một cá nhân được thiết lập và lưu trữ. Trong quá trình này, bà B phải chú ý đến những nguồn thông tin chính nào liên quan đến việc đăng ký và quản lý dữ liệu này?",A. Quyền dân sự B. Thương mại C. Thuế - phí - lệ phí D. Xây dựng - đô thị E. Lao động - tiền lương F. Thể thao - y tế,A. Quyền dân sự,E. Lao động - tiền lương,E
